indice_tiempo,ipc_ng_nacional,ipc_ng_gba,ipc_ng_pampeana,ipc_ng_nea,ipc_ng_noa,ipc_ng_cuyo,ipc_ng_patagonia,ipc_ng_nacional_tasa_variacion_mensual,ipc_ng_gba_tasa_variacion_mensual,ipc_ng_pampeana_tasa_variacion_mensual,ipc_ng_nea_tasa_variacion_mensual,ipc_ng_noa_tasa_variacion_mensual,ipc_ng_cuyo_tasa_variacion_mensual,ipc_ng_patagonia_tasa_variacion_mensual,ipc_ng_nacional_tasa_variacion_acumulada_dic_ano_anterior,ipc_ng_gba_tasa_variacion_acumulada_dic_ano_anterior,ipc_ng_pampeana_tasa_variacion_acumulada_dic_ano_anterior,ipc_ng_nea_tasa_variacion_acumulada_dic_ano_anterior,ipc_ng_noa_tasa_variacion_acumulada_dic_ano_anterior,ipc_ng_cuyo_tasa_variacion_acumulada_dic_ano_anterior,ipc_ng_patagonia_tasa_variacion_acumulada_dic_ano_anterior
2020-10-01,359.657,353.0444,364.09,370.1522,366.7812,372.0342,357.3048,0.03760969843982198,0.03561844753037535,0.040147184440501915,0.03746017580802441,0.04068586643241523,0.036607839935713926,0.034622168183348956,0.26888114133222674,0.25559264165873863,0.2802079894064362,0.2996406040211903,0.28426678543592043,0.2808065034201619,0.24767717965192615
2020-11-01,371.0211,363.5381,376.3817,383.7668,378.17,383.7513,367.7392,0.03159704941096653,0.029723456879644505,0.03376005932599102,0.0367810862666762,0.031050664537877193,0.03149468516604115,0.02920307815624068,0.3089740414515447,0.2929131954014812,0.3234278870784051,0.3474427971933689,0.3241441225676289,0.32114510100399807,0.28411319384305944
2020-12-01,385.8826,377.0507,392.1591,405.0619,394.4702,400.1693,378.8585,0.04005567338353533,0.03716969418061011,0.04191861612825498,0.05548968800844678,0.04310283734828246,0.042782916956893624,0.030236917902687566,0.36140587812345415,0.34097038347662956,0.37890415265027233,0.42221197761885776,0.3812184913083454,0.37766754214825893,0.32294081906305006
2021-01-01,401.5071,389.4454,410.2886,422.54,416.2149,418.0148,394.4385,0.0404902941982872,0.03287276750845436,0.046229961258070995,0.04314920756555973,0.0551238090988877,0.04459487521906347,0.04112353292852067,0.0404902941982872,0.03287276750845436,0.046229961258070995,0.04314920756555973,0.0551238090988877,0.04459487521906347,0.04112353292852067
2021-02-01,415.8595,403.4854,424.4373,438.5825,429.9182,435.0785,409.6462,0.0357463168148211,0.03605126675010162,0.03448475049026478,0.03796681970937654,0.03292361710260727,0.04082080347394412,0.03855531343923091,0.07768398989744552,0.07010913916881734,0.08230894042749481,0.08275426545918041,0.089862301385504,0.08723607733027006,0.08126437706953915
2021-03-01,435.8657,424.4539,444.913,453.1765,447.9105,453.9557,426.2375,0.04810807496281799,0.051968423144926446,0.04824199004187424,0.03327538148466935,0.04185051947091334,0.04338803227463539,0.04050153522722777,0.12952929206966046,0.12572102372439553,0.1345216775538296,0.11878332669648772,0.1354736048502525,0.13440911134362366,0.12505724432736764
2021-04-01,453.6503,441.8955,462.5053,471.9102,465.799,472.8822,446.4921,0.040802935399596674,0.041091859445749224,0.03954098891243896,0.04133863958082551,0.03993766611856597,0.04169239421379678,0.04751951670136956,0.1756174028059312,0.17197899380640336,0.17938178662690718,0.1650323074078308,0.18082177056720639,0.18170534321348475,0.1785194208391787
2021-05-01,468.725,456.7856,477.4449,486.7551,480.9157,490.0755,462.1838,0.03322978073639549,0.03369597563224791,0.03230146768047848,0.031457044157977565,0.03245326846987662,0.03635852649983429,0.03514440681033326,0.21468291133106288,0.21146996942321006,0.21747754929058116,0.2016807801474294,0.21914329650249886,0.2246704082497082,0.2199377867990293
2021-06-01,483.6049,470.784,492.929,500.6446,496.7202,507.4581,478.1109,0.0317454797589205,0.030645449418720716,0.03243117687506958,0.028534883353045437,0.032863347983856483,0.035469228720880874,0.034460532801019905,0.2532436031062295,0.24859601109346818,0.2569617790330505,0.235970601036533,0.25920842689764645,0.2681085230676117,0.26197749291622086
2021-07-01,498.0987,485.3036,507.0547,515.5473,510.3946,523.5377,494.1249,0.029970333220362466,0.030841320010875473,0.02865666252137733,0.029767024352205018,0.02752938173241204,0.03168655697879297,0.03349432108742967,0.29080373149761085,0.2871043602359047,0.29298210853707074,0.2727617680161969,0.29387365636238183,0.3082905160390863,0.30424657226906615
